,country,description,designation,points,price,province,region_1,region_2,variety,winery
162,Spain,"Oak is apparent on the front end, where milk chocolate and vanilla aromas vie with red berry scents. Feels full and forward, with standard, appealing berry fruit and cassis-like flavors. Toasty and a touch bitter on what amounts to a solid finish.",Monte Castrillo,87,14.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca Torremilanos
163,US,"Dull, soft and somewhat vegetal. Tastes like brussel sprouts soaked in red wine, with a squeeze of sweet oak. Merlot and Cabernet.",The Lucky Tornado,82,39.0,California,Napa Valley,Napa,Red Blend,Regan
164,Argentina,"Concentrated for a value-priced Malbec, with aromas of blueberry, beets and cherry. The palate is full and moderately deep, with standard black fruit flavors along with hints of butter and vanilla. Structured and balanced, with creaminess.",Lo Tengo,87,11.0,Mendoza Province,Mendoza,,Malbec,Bodega Norton
165,US,"Rewards for its rich, spicy oak, flamboyant flavors, and the crisp, juicy acidity that characterizes this cool coastal appellation. Pineapples, guavas, kiwis, limes and ripe peaches flood the mouth, leading to a dry, clean finish.",Paragon Reserve,87,30.0,California,Edna Valley,Central Coast,Chardonnay,Edna Valley Vineyard
166,Chile,"This small-production Syrah from Aconcagua (250 cases) is rosy and rusty in color, with leathery, roasted, almost cheesy aromas of spicy, savory berry fruits. The palate shows tomatoey zest along with herbal, brambly, spicy flavors of plum and raspberry. On the finish, this is rooty, herbal and tomatoey in flavor, with a touch of chocolate and a foresty quality. Drink through 2019.",Carabantes,90,35.0,Aconcagua Valley,,,Syrah,Von Siebenthal
167,US,"This simple, direct Cabernet appeals for its blackberry, licorice and sweet mocha flavors. It's a soft wine for drinking with everyday fare.",,84,15.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Bridlewood
168,France,"The new VF line from Beaucastel's Perrin family is a stunning statement of affordable quality. Screw-capped and plainly packaged, Lasira delivers the goods where it counts: in the bottle. The blend is three-quarters Syrah, one-quarter Grenache, and as the label points out, 0% cork. Bright, spicy and showing sharp berry flavors, this fruit and acid-driven bottling is a classy new wine for a new generation of wine drinkers.",Lasira Red Wine,88,9.0,Rhône Valley,Costières de Nîmes,,Rhône-style Red Blend,VF
169,Spain,"Much like the 2004, this wine straddles traditional and modern lines. The nose offers light raisin, spearmint, brick dust and leafy red fruit aromas, while the palate may seem acidic and sour to some but reflective of old Rioja to others. Strong American oak accents of dill, coconut and vanilla are present on the palate and finish. Drink now through 2012.",Coto de Imaz Reserva,88,20.0,Northern Spain,Rioja,,Tempranillo,El Coto
170,France,"88–90. Barrel sample. There's lots of new wood here, making this wine intensely sweet-and-spicy in character. Soft in tannins, the wine is ripe and juicy, and frankly, delicious already.",Barrel Sample,89,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Franc Mayne
171,Argentina,"Spice, rose hips and raspberry make for an open and welcoming nose. The palate delivers generic berry flavors, size, tannins and spice. It finishes a little harsh, with pepper and burnt notes. But mostly it's a solid everyday Malbec.",Henry Lagarde Reserve,85,11.0,Mendoza Province,Mendoza,,Malbec,Lagarde
172,US,"A sharp brine character gets warmer boosts from underlying pear, nectarine and buttered sourdough aromas. Flavors are light and bright at first, with sandy clay, vanilla cookie and custard strudel emerging on the midpalate and a line of acidity down through the finish.",,91,24.0,California,Edna Valley,Central Coast,Chardonnay,Talley
173,US,"A beautiful Cabernet that drinks well now, and should develop bottle complexity through 2012. Dry and full-bodied, it shows black currant, black cherry, tobacco, cedar, anise and spice flavors, wrapped into sturdy tannins.",Stagecoach Vineyard,92,50.0,California,Napa Valley,Napa,Cabernet Sauvignon,Napa Cellars
174,France,"93-95 Barrel sample. Richly smooth wine, with great polished fruits and solid tannins. Power and juicy extract.",Barrel sample,94,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Haut-Marbuzet
175,Italy,"Leafy underbrush, truffle, new leather and dark berry aromas slowly take shape in the glass. The taut palate offers dried black cherry, clove, star anise and espresso notes, with tightly-wound, fine grained tannins that leave a firm finish.",,90,55.0,Tuscany,Brunello di Montalcino,,Sangiovese,Camigliano
176,US,"An elegant, restrained, yet lovely Pinot Noir from a much-maligned vintage. Soft, round cherry fruit is wrapped in sandalwood and mocha flavors. Fully ripe with fine tannins and lovely integration of the barrel notes.",Reserve,90,35.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Zimri Cellars
177,Italy,"Opens with light berry aromas that are similar to raspberry and strawberry. It's tangy in the mouth, with red plum and raspberry controlling the board. Shows hints of vanilla and brown sugar on the snappy finish. More racy than rich.",Poggio al Casone,85,13.0,Tuscany,Chianti Superiore,,Sangiovese,Poggio al Casone
178,US,"From a pioneer of organic growing and biodynamic winemaking comes this clean, jammy Syrah. It has the juicy high acidity of a baby coastal wine, with dark blue and black fruit wrapped in firm tannins. Finishes dry and spicy. Drink now.",,87,15.0,California,Mendocino County,Mendocino/Lake Counties,Syrah,Bonterra
179,Austria,"An intriguing mix of fragrant white summer blossom and ripe pears with a faint edge of hazelnutty oak is merely a prelude to a tight, textured but wonderfully pure pear-fruited palate.",,89,19.0,Burgenland,,,Pinot Blanc,Höpler
180,US,"Wente is well known for its Wente clone, a popular sight in many a California Chardonnay vineyard. This flavorful example is compellingly rich and textured, yet modest in alcohol, with a happy apple, melon taste and a bit of an exotic lift on the finish, possibly from the 2% Gewürztraminer that's blended in.",Morning Fog,86,15.0,California,Livermore Valley,Central Coast,Chardonnay,Wente
181,Germany,"Puckering lime zest and lemon notes are softened by crisp yellow peach and nectarine in this dry, light-bodied Riesling. Racy and brisk, it finishes with an elegant crush of minerals. Drink now.",Alte Reben Trarbacher Burgberg,89,45.0,Mosel,,,Riesling,Richard Böcking
182,US,"An awesomely rich Pinot Noir, this is a big wine that's darkly colored and intensely layered with raspberry, chocolate, spice and mushroom notes. Lots of new oak shows up, but it's balanced against the wine's power. Delicious now, but should reward aging over the next eight years.",Stony Block Don Miguel Vineyard Unfiltered,93,47.0,California,Russian River Valley,Sonoma,Pinot Noir,Marimar Estate
183,New Zealand,"A deft touch with oak leaves this wine's green-apple and citrus flavors with only the barest hints of toast, woodsmoke and spice. Bears a resemblance to well-made Macons.",,87,20.0,Marlborough,,,Chardonnay,Wairau River
184,France,"This vintage rosé, made with 57% Chardonnay, 28% Chenin Blanc, 10% Mauzac and 5% Pinot Noir, is a perfect match for tomato-cream sauce dishes or insalata Caprese. Delicate toast adds depth to the dainty strawberry and apple notes, with a touch of sweet spice unfolding on the finish. Drink up.",Vintage Rosé Brut,86,23.0,Languedoc-Roussillon,Crémant de Limoux,,Sparkling Blend,Château Rives-Blanques
185,France,"A solid, foursquare wine, flaunting its tannins but not forgetting the rich weight of fruit underneath. Mint flavors go with the chocolate and dark plums.",Caractère,89,20.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château de la Grave
186,France,"Made from organic grapes, this estate wine from the high-altitude property is crisp and tightly fruity. It boasts great acidity and refreshingly bright red-currant fruitiness. This is ready now.",,91,24.0,Provence,Côtes de Provence Sainte-Victoire,,Rosé,Château Grand Boise
187,France,"Steely, mineral style, very crisp. The texture is bone dry, with grapefruit and lime flavors, a wine under tight tension. It has lightness and extreme freshness.",Burg,86,30.0,Alsace,Alsace,,Riesling,Gustave Lorentz
188,US,"Nice Cab, a Rutherford-St. Helena blend that's tannic enough to warrant time in the cellar. Too young to really show its stuff now, but there's a chunk of flashy blackberry and cherry fruit, and enough balancing acids, to let it develop well through 2012.",Reserve,89,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Whitehall Lane
189,Portugal,"A firmly structured wine, its tannins well bedded into perfumed black plum fruits. It has juicy, fresh acidity over the rich fruits, giving brightness to an otherwise weighty wine.",,90,24.0,Alentejano,,,Syrah,Cortes de Cima
190,Austria,"Ripe mango, peach and pineapple all come together in this rich, opulent wine. Round yet there's a strong ginger and spice component. This is a complex wine, textured, rich and worth aging for at least another two years. Glass stopper.",Sernauberg Erste Lage,92,38.0,Südsteiermark,,,Sauvignon Blanc,Sattlerhof
191,New Zealand,"A full-bodied Chard offering up plenty of intensity and character. Aromas of citrus, ripe apple, pear and melon lead into richer flavors of grilled peaches and oak, filling the mouth with a weighty texture that finishes clean and long.",Kosher,86,24.0,Marlborough,,,Chardonnay,Goose Bay
192,US,"This is a vigorous young Cabernet, fresh and jammy in blackberry, cassis and new oak notes. The tannins are thick, smooth and flashy, and should protect the wine as it glides on its aging journey. Best after 2015.",Clark-Claudon Vineyard,92,44.0,California,Napa Valley,Napa,Cabernet Sauvignon,Midsummer Cellars
193,New Zealand,"Made in a soft, off-dry style, this Pinot Gris features apple and pear flavors underscored by modest citrusy notes and a bit of gingery spice on the finish. Drink now.",,85,18.0,Waipara,,,Pinot Gris,Freefall
194,Italy,"Peach, cantaloupe, pear and a touch of citric zest characterize this expertly made white wine from southern Italy. Beyond the fruit aromas, you'll also pick up notes of white flower and mineral-flint that add dimension and complexity. Drink it well-chilled with seafood or white meat.",,88,18.0,Southern Italy,Fiano di Avellino,,Fiano,Feudi di San Gregorio
195,Spain,"Excellent modern Rioja at a fair price. Smells solid, with crusty minerality and toasty oak to go with black fruit aromas. Feels flush and voluminous, with jammy blackberry, baked fig and coffee flavors. Toasty, meaty and dark on the finish. Drink now through 2014.",Reserva,90,21.0,Northern Spain,Rioja,,Tempranillo,Señorio de Uñuela
196,New Zealand,"This 100% Merlot is packed with black cherries, lusciously ripe and silky in the mouth. Black-tea notes on the finish hint at the complexities to be gained with bottle age. Try after 2003.",Broken Stone,92,40.0,Hawke's Bay,,,Merlot,Sacred Hill
197,Spain,"Smooth and pure up front, this has notes of lemon peel and tobacco on the bouquet. Fresh, complete and racy in feel, it has flavors of tomato, cherry and raspberry, with an overall freshness that can't be assailed. It finishes mild, with a hint of toffee. Elegant and ready to drink now–2015.",Reserva,90,35.0,Northern Spain,Rioja,,Tempranillo Blend,Viña Valoria
198,US,"This is 100% Viognier, different from the winery's varietally labeled version in that it is 100% stainless-steel fermented. The result is a less round and toasty wine, but one that, in this vintage at least, offers more focus and precision. Peach and apricot, tangerine and tropical fruits are on display, and the finish winds down gently, with none of the heat or bitterness that can affect some Viogniers.",,90,18.0,Washington,Washington,Washington Other,Viognier,Coeur d'Alene
199,Italy,"The 2004 Bricco Riund Riserva makes a very nice first impression thanks to the elegant and fine nature of its aromas. There's a definite aromatic lift here, spurred forward by buoyant aromas of root beer, cherry, menthol, white stone and dried currants. Give it a few more years in the bottle to soft those firm tannins.",Bricco Riund Riserva,91,,Piedmont,Barolo,,Nebbiolo,Cascina del Monastero
200,France,"This medium-dry wine is rich and rounded. It has concentrated flavors of spice, mango, crisp lime and ripe apple. Full-bodied and rounded, it has a good shot of acidity.",Réserve,89,,Alsace,Alsace,,Pinot Gris,Meyer-Fonné
201,US,"A fortified red wine blend of Cab Sauvignon, Cab Franc and Merlot, the alcohol is a Port-like 19.2%. This is dark and substantial, with allspice, clove and cinnamon infusing fig- and plum-flavored fruit. The residual sugar is 6% but the sweetness is not at all overpowering, thanks to the excellent spirit (no burn) and the dense tannins. Try it with figs stuffed with bleu cheese and walnuts.",Mundo Novo,90,38.0,Oregon,Oregon,Oregon Other,Red Blend,Madrone Mountain
202,US,"Yeasty and noticeably sweet, with frothing bubbles. Nice package; simple flavors.",Blanc de Blancs,85,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sparkling Blend,Domaine Ste. Michelle
203,Austria,"Austrians seem challenged to produce exotic blends. This wine with Riesling, Furmint and Sauvignon Blanc together, is an intriguing example. It is as rich, powerful and full-bodied. It is opulent in texture, and now mature.",Ruster Ausbruch,88,,Burgenland,,,Austrian white blend,Schandl
204,Chile,"Powerful, rooty, deep and dense on the bouquet, but with the slightest herbal note. The palate is tight and mildly tannic, with ready cassis, berry, plum and oak flavors. On the finish, you get a rebound of that slight herbal/green tinge along with vanilla, mocha and length. Fine wine for sure, but maybe a step short of the excellent 2005 Coyam.",Coyam,89,30.0,Colchagua Valley,,,Red Blend,Emiliana
205,US,"Here's a bright, accessible but complex young Pinot Noir, appealing for its savory flavors of red cherry pie filling, cocoa, bacon, nutmeg and pepper. Elegantly crisp and silky now, it should develop for 4–6 years.",The Narrows Vineyard,92,75.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
206,Spain,"Cherry and raspberry aromas are a little scratchy, with accents of toast, leather and roasted meat. The palate, on the other hand, is more lean, driving and citric than in riper years; it's crisp and fresh, with red plum, pie cherry and toasty oak flavors. Clean, lean and ready to drink.",Crianza,88,18.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
207,New Zealand,"This medium-bodied Pinot Noir is oaky. It starts off with smoky, meaty, hickory notes and never really incorporates them smoothly into the modest cherry fruit, and it adds a mocha note on the slightly tough finish. A grilled steak might help bring out the wine's fruity side.",,84,29.0,Nelson,,,Pinot Noir,Woollaston
208,US,"A signature bottling from the relatively new appellation, this Sashi Moorman wine shows fresh-pressed boysenberry, black raspberry, dried violets and lavender on the zesty nose. There is an extreme amount of vibrancy to the palate, with black and white pepper spicing up the tart elderberry and juniper fruits, with licorice and menthol playing supporting roles.",Angeli,94,68.0,California,Ballard Canyon,Central Coast,Syrah,Stolpman
209,US,"Pretty tannic still, and very dry, but with some deep red cherry flavors, this wine may benefit from a few more years, but it's not an ager. It shows an angular structure that will stand up well to beef or lamb.",Rochioli Vineyard Le Pinot,87,,California,Russian River Valley,Sonoma,Pinot Noir,Davis Bynum
210,Italy,"Here's a vibrant wine that offers everything you look for in a Rosso di Montalcino. It has fresh aromas of plump cherry, chopped mint and cola as well as the zesty acidity you need to keep your palate refreshed.",,87,30.0,Tuscany,Rosso di Montalcino,,Sangiovese Grosso,SassodiSole
211,Spain,"Cool berry, graphite, cola and prune are the lead aromas on this ripe RDD. In the mouth, choppy tannins and firm acids create a strong, edgy feel. Flavors of cassis, wild berry, coconut and vanilla announce ripeness and plenty of oak. It finishes with abrupt tannins, tons of residual flavor and weight. Drink now through 2021.",,92,85.0,Northern Spain,Ribera del Duero,,Tinto del Pais,O. Fournier
212,France,"Intense, rich and creamy, this effortlessly balances the wood influence with the apricot and white peach flavors. It demonstrates the opulence of the year while remaining structured. Developing well, this is almost ready to drink now.",,89,26.0,Burgundy,Montagny,,Chardonnay,Domaine Faiveley
213,US,"At five years, this Bordeaux blend is ruggedly dry and firmly tannic, with a baked or cooked edge to the blackberries. It's not very flattering now, but there's a slim chance it could soften and sweeten with age.",Odyssey,85,75.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Arger-Martucci
214,France,"91-93 Barrel sample. Dry, concentrated, a powerful wine with great swathes of dry botrytis cutting through the fruit. A wine that, at this stage, shows power and density.",Barrel sample,92,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Doisy-Daëne
215,Italy,"More spice than ripe fruit characteristics here. There's a dark, savory note of smoked ham or bacon as well, with back-end notes of cola and root beer. Warm, wintery personality. Streamlined and polished in the mouth.",,93,75.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Il Paradiso di Frassina
216,Italy,An attractive element here is the distinct mineral tone that adds a vein of dryness to what is otherwise a sweet sparkler ripe with peach and apricot-like aromas. It has frothy texture and cleansing crispness on the close.,Cartizze Cuvée Viviana,88,,Veneto,Prosecco Superiore di Cartizze,,Prosecco,Valdo
217,Israel,"Brisk and vibrant with juicy plum, cherry and earthy herbal flavors. Accents of cocoa and thin mint develop on the lingering finish. Drink now.",Appellation Kosher,84,24.0,Upper Galilee,,,Merlot,Carmel
218,France,"A rich yellow color, this wine shows prominent oak flavors and aromas. Toasty vanilla dominates the nose while butter and toast wrap around Chardonnay's flavors of yellow fruits. A bigger style, with big bubbles and a round feel.",Perle d'Ivoire Blanc de Blancs Brut,84,15.0,Burgundy,Crémant de Bourgogne,,Sparkling Blend,Louis Bouillot
219,New Zealand,"This wine is nearly dry—increasingly rare for NZ Pinot Gris—with aromas of slightly stewed fruit: white grapes and pears with sprinklings of clove and cinnamon. It's only medium weight, with a finish reminiscent of canned pears and a hint of tangerine. Drink now.",,85,18.0,Nelson,,,Pinot Gris,Seifried
220,US,"Tons of fruit in this easy, direct Pinot Noir. Raspberry, cherry, pomegranate, persimmon and cola begins to describe it, further sweetened by smoky, caramelized oak. Rich and crisp, if a little one-dimensional. But it's a really nice dimension.",Gap's Crown Vineyard,88,70.0,California,Sonoma Coast,Sonoma,Pinot Noir,Patz & Hall
221,Italy,"Romitorio di Santedame is Ruffino's top wine. It is a big, plump wine and is almost too thick and powerful in places, making it well suited to succulent cuts of red meat. But it's hard not to love its extraction, sophisticated mouthfeel and blockbuster tannins. Drink after 2010.",Romitorio di Santedame,92,70.0,Tuscany,Toscana,,Red Blend,Ruffino
222,France,"Powerful, intense and packed with rich green fruits, this is the top wine from Thierry Redde. There's an attractive smoky character to the ripe fruit, a bloom of summer herbs and some good lively apple flavors. Drink now, or keep for another year.",Cuvée Majorum,90,,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Michel Redde et Fils
223,Spain,"Quiet on the nose and only slightly more zesty in the mouth. There's grassy, pithy citrus flavors, a little kick from the wine's acid, and then a pithy, mild-mannered finish. Standard-fare Verdejo.",,84,13.0,Northern Spain,Rueda,,Verdejo,Emina
224,US,"The '03 is elegant and sleek, with blackberry and cassis flavors that finish thoroughly dry. But even at 4-plus years, the tannins are very harsh. Could surprise in a decade, but it's a gamble.",Artist Series,87,70.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Kenwood
225,Spain,"This shows weedy, herbal aromas, a blocky mouthfeel and leafy, woody red-fruit flavors that taste of faux butter. Dry, peppery, herbal and brawny on the finish.",Cune Crianza,82,15.0,Northern Spain,Rioja,,Tempranillo Blend,CVNE
226,US,"The barrel speaks loudly here, fortressing deep, full-bodied layers of vanilla, tropical guava and pineapple. Creamy and textured, it finishes in more vanilla.",,87,35.0,California,Russian River Valley,Sonoma,Chardonnay,Orogeny
227,US,"This everyday wine starts with a blast of cat pee, then offers more generous fig, honeydew, apricot and citrus fruit flavors that finish dry, or nearly so. Zingy acidity makes it all clean and vibrant.",,84,14.0,California,Alexander Valley,Sonoma,Sauvignon Blanc,Château Souverain
228,Portugal,"A ripe wine from the Real Companhia Velha, this shows a rich character, its tannins ripe and generous. It's not a huge wine, but it does show a fine, full-bodied flavor of sweet plum. The final feeling is smooth and opulent.",Vintage,88,60.0,Port,,,Port,Royal Oporto
229,Spain,"Big, smoky and concentrated on the nose, this has a ton of black fruit and char notes. This is mouth-filling, deep and powerful stuff, with a potent mash of baked blackberry, molasses and barbecue sauce filling in the flavor profile. It finishes long and roasted, with savory oak and saucy spice flavors. A blend of 85% Garnacha and 15% Monastrell.",La Atalaya,89,16.0,Central Spain,Almansa,,Garnacha-Monastrell,Atalaya
230,Austria,"Richness in a glass, this flows around the mouth, unctuous, velvety, a mouthful of honey. If the acidity is only just a hint, it doesn't matter, this is delicious now, and a seductive treat.",Beerenauslese,90,19.0,Burgenland,,,White Blend,Umathum
231,Argentina,"A Malbec-led blend that's off the grid by Argentine standards but which reflects the northern Salta region. The nose is earthy, herbal, roasted and tomatoey, while the palate is astringent and roasted, with herbal, spicy flavors of tomato, bell pepper and baked berries. Long and baked on the finish, with a slight fiery feel.",Amalaya,85,17.0,Other,Calchaquí Valley,,Red Blend,Colomé
232,US,"Here's a full-flavored Chardonnay in which toasty oak plays side by side with big, lush tropical fruit flavors to give plenty of mouth satisfaction. There's a vanilla custard and tapioca spice flavor on the finish that's especially rich.",,87,19.0,California,Napa Valley,Napa,Chardonnay,Andretti
233,Germany,"Soft and round in the mouth, this is rather alcoholic for a Mosel (12%), but carries it well, balancing the weight with flinty, citrusy aromas and flavors that fall off rapidly on the finish.",Classic,84,17.0,Mosel-Saar-Ruwer,,,Riesling,Dr. H. Thanisch (Erben Müller-Burggraef)
234,US,"This is the fourth vintage for this rare Washington version of Petite Sirah, and the best yet. It doesn't have the sheer weight and bulk of California wines, but its firm acids, sweet tannins and ripe black cherry fruit adds a stylish, almost elegant spin to the grape.",Zephyr Ridge,89,20.0,Washington,Horse Heaven Hills,Columbia Valley,Petite Sirah,Thurston Wolfe
235,Austria,"Kracher, the king of sweet wines, also makes a few dry wines. While not in the same unique class as the sweet wines, this Pinot Gris is creamy, flavored with pears, green fruits, a touch of spice, and finishing with some delicate acidity.",,87,14.0,Neusiedlersee,,,Pinot Gris,Kracher
236,US,"Here's an everyday red wine, dry and fruity, with a simple structure. It's sweet throughout, from ripeness and oak.",,84,13.0,California,California,California Other,Syrah,Hess Select
237,Italy,"Top-echelon, with a stunning purity and depth of layered fruit both sensuous and intellectually appealing. The dark cherry and plum core is oak-enveloped with rarely seen seamlessness, while the big but supple mouthfeel belies the wine's profound power and structure. A classic effort marked by perfect fruit-to-acid balance, firm, refined tannins and a seemingly endless finish. Editors' Choice.",Solaia,97,115.0,Tuscany,Toscana,,Red Blend,Antinori
238,US,"This Syrah aims high. It's dry, rich and full-bodied, with rich tannins and oak, and is fruity enough for the core of cassis to develop for several years. On the other hand, it has a sharp finish that may crack this wine up before the tannins fall out.",Lynch Knoll Vineyard,90,65.0,California,Napa,,Syrah,Lynch
239,US,"From a tiny coastal vineyard, this wine appears light-bodied and delicate at first, building its power slowly in the glass. Sous bois, earthy spice and savory tea give it an edginess unfettered by fruit, while a healthy tannic structure keeps it grounded.",Huckleberry's Vineyard,90,65.0,California,Sonoma Coast,Sonoma,Pinot Noir,Talisman
240,US,"With only 72% Zin, they can't call it by the varietal name. It's a fine, brisk wine whose Petite Sirah, Syrah, Mourvèdre and Viognier elevate the usual cherry-berry and spice flavors, giving it both earthier, deeper notes as well as brighter citrus fruits. Decant before serving.",The Imposter,89,32.0,California,California,California Other,Red Blend,JC Cellars
241,US,"A blend of 57% Merlot, 37% Cabernet Sauvignon and 6% Syrah, this opens with a sweetly spiced bouquet of red and purple fruits. The medium weight midpalate brings tart plum and cherry flavors, plentiful acidity and moderate, balanced tannins. Drink now through 2020.",Trutina,89,29.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Dunham
242,US,"A touch of oak influence lends smokiness to the lime, Meyer lemon and tropical fruit flavors. With its crisp acidity that creates a sweet-and-sour taste, this wine is for drinking now as a cocktail sipper or with ham or Chinese food.",,85,15.0,California,Central Coast,Central Coast,Sauvignon Blanc,Edna Valley Vineyard
243,US,"Cabernet specialist Venge brings its vision of big, bold wines to Chardonnay, with mixed results. The wine is huge and fruity, with massive pineapple, pear, crème brûlée, buttered toast, caramel and vanilla spice flavors, in which oak obviously plays a part. Yet it's almost too much of a good thing. It earns its high score for sheer power, but you find yourself wanting greater subtlely and finesse.",Maldonado Vineyard,90,39.0,California,Napa Valley,Napa,Chardonnay,Venge
244,Italy,"A smooth and elegant wine from one of Valpolicella's best producers. The craftsmanship and expertise here really comes through, especially in the wine's natural balance and sophistication. Aromas include black cherry, cola, cedar and spice.",,92,50.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",Le Salette
245,France,"The bouquet of this wine is quite forward and floral, with strong scents of carnation, violet and lavender. The fruit appears secondary to the herbal backbone, with a touch of blueberry and cocoa making an appearance on the mouthwatering close. Drink now.",,87,19.0,Languedoc-Roussillon,Faugères,,Rhône-style Red Blend,Domaine Saint Antonin
246,US,"Ballentine's Chenins nearly always impress, and this is one of their best. Bone dry and very crisp, almost tart, in acids, the wine shows intriguing lime, wildflower and sweet French green bean flavors.",Pocai Vineyard Old Vines,91,15.0,California,Napa Valley,Napa,Chenin Blanc,Ballentine
247,Chile,"Begins with lightly spiced aromas of dried red fruit, tomato leaf and herb. Feels smooth and thick, with chewiness and soft tannins. Flavors of strawberry, raspberry and plum come with creamy tasting oak and affiliated butter and vanilla. Stocky and rich on the finish.",Duette Single Vineyard,88,20.0,Maipo Valley,,,Pinot Noir,Indomita
248,Italy,"The wine's structure has all the requisite parts and then some. It has good weight, crisp acidity and fine balance. Unfortunately, there's little fruit for it to support, and therein lies the problem.",,83,12.0,Northeastern Italy,Alto Adige,,Pinot Bianco,Tieffenbrunner
249,US,"What Dutton Ranch Chards share is a crisp, appley crunchiness, edging into the tropics in a good vintage. In this case, it adds rich new oak and a creamy, leesy mouthfeel, and the flavors approach decadent guava and nectarine.",Dutton Ranch,91,35.0,California,Russian River Valley,Sonoma,Chardonnay,Davis Family
250,New Zealand,"Hmmm. This has plenty of intensity, strident grapefruit flavors and crisp acids, but the aromas are marked by onion or garlic scents that make the wine perplexing to evaluate. From memory, a bottle tasted nonblind seemed much cleaner, so perhaps the sample was just off?",,84,15.0,Hawke's Bay,,,Sauvignon Blanc,Matariki
251,US,"This was pressed whole-cluster and fermented in French oak, roughly one-third new. It's a flavorful wine with caramel apple appeal, good definition and medium length. The barrels put a pleasing toasty frame around the finish.",Lumière,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Sparkman
252,Australia,"De Bortoli's Emeri line of sparkling wines are not conventional Pinot Noir-Chardonnay blends. This one is Pinot Grigio with bubbles, the usually muted aromas of the variety perked up to show grapefruit and fig notes. The wine is soft and fullish in body, with hints of fig coming through on the palate.",Emeri Sparkling,85,13.0,Australia Other,Australia,,Pinot Grigio,De Bortoli
253,France,An elegant wine that is given weight by its rich black fruits and style by the balance between tannins and acidity. There is a fresh character to this bright and fruity wine at this stage. Give it 4–5 years and it will begin to develop secondary aromas. Drink from 2016.,,90,100.0,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Chantelune
254,France,"91-93 Barrel sample. Rich and spicy wine, with dark tannins, very black fruits and a solid structure. At the same, very approachable, rich and juicy.",Barrel sample,92,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Petit-Village
255,US,"Starts out sulfury, a smell that's very slow to blow off. Beneath that eggy scent, this Petite Sirah, Barbera, Zin and Carignane blend isn't bad. Dry and tannic, it shows a robust earthiness reminiscent of certain Spanish reds. But the sulfur kills it.",Proprietary Red Wine,82,11.0,California,California,California Other,Red Blend,Ten Mile
256,US,"Mainly Pinot Noir, with some Chardonnay for brightness and citrusy zest, this brilliantly clean wine has an incredibly fierce mousse. It seems to boil in the glass, and the followup mouthfeel is as creamy and refined as any California sparkler in memory. The Pinot asserts itself in delicate touches of raspberries and strawberries. Delicious and compelling now. Try with sushi.",Blanc de Noirs,94,38.0,California,North Coast,North Coast,Sparkling Blend,Schramsberg
257,Portugal,"A bit of a disappointment from this winery, but the flavors here seem a touch overripe, with pruny notes intruding into the blackberries. Obvious American oak marks the nose with herbal, dill-like notes and the finish with dry, woody tannins and caramel flavors. Imported by Supreme Wines & Spirits.",,85,16.0,Douro,,,Tinta Roriz,Quinta de Ventozelo
258,Australia,"Oxford Landing's garnet-colored Cab will please fans of simple, high-tannin wines. Oaky and peppery from beginning to end, the wine shows light blackberry and cherry flavors on the nose, and closes long and cedary.",Limited Release,84,10.0,South Australia,South Australia,,Cabernet Sauvignon,Oxford Landing
259,Greece,"Cherry and cinnamon emerge from darker flavors of purple fruit and a hint of barnyard, while the hard tannins outweigh this wine's medium body.",Nemea,83,14.0,Nemea,,,Agiorgitiko,Boutari
260,US,"Juicy, sweet and fat in glycerine, this has complex flavors of blackberry and cherry pie filling. The tannins and acids give it a fine, elegant structure. Drink now.",Lot 332,88,22.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
261,US,"Packed in a recyclable box that's easy to open, this is a fresh, young, clean Cab. It's dry, with everyday blackberry and cherry flavors.",,83,9.0,California,California,California Other,Cabernet Sauvignon,Bandit
262,Italy,"This vintage of Jago presents ripe cherry aromas that are well integrated against the wine's mass of spice, chocolate and tobacco. There's plush softness here and a long, fresh finish. Imported by Tellitalia Imports.",Jago,88,25.0,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",Villa Spinosa
